,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
42,Scrypt,PoW/PoS,41.99995383,42,-0.3453685427970782,1.022986687430543,-0.41343963760101743,42 Coin,0
404,Scrypt,PoW/PoS,1055184902.04,532000000,-0.32866865502134474,1.023055079626877,-0.4138578057158996,404Coin,0
1337,X13,PoW/PoS,29279424622.5027,314159265359,2.3167355779107597,1.6218114803046724,-0.5220333542429567,EliteCoin,0
BTC,SHA-256,PoW,17927175.0,21000000,-0.13956615808618117,-1.2970461074874415,0.16122082892597478,Bitcoin,3
ETH,Ethash,PoW,107684222.6865,0,-0.15559554075169965,-1.9682181339194726,0.3027058436255701,Ethereum,3
LTC,Scrypt,PoW,63039243.3000049,84000000,-0.1776721924212357,-1.1232705678955004,0.023662842475314052,Litecoin,3
DASH,X11,PoW/PoS,9031294.37563393,22000000,-0.38641313391630205,1.2921737224031795,-0.43233133448974326,Dash,0
XMR,CryptoNight-V7,PoW,17201143.1449131,0,-0.14258800268217842,-2.2063314152170004,0.3354396938713654,Monero,3
ETC,Ethash,PoW,113359703.0,210000000,-0.15403247809096843,-1.9683293670269892,0.3026771678317549,Ethereum Classic,3
ZEC,Equihash,PoW,7383056.25,21000000,-0.13594779611262678,-2.2143246293296808,0.22682937584529167,ZCash,3
BTS,SHA-512,PoS,2741570000.0,3600570502,-0.1912964671562458,1.6376235852570515,-0.2564028385529052,Bitshares,0
DGB,Multiple,PoW,11406219141.0,21000000000,0.16475811438403914,-1.8610364549421317,0.26269636375102423,DigiByte,3
BTCD,SHA-256,PoW/PoS,1288862.0,22000000,-0.3060899839935156,0.8491809637523929,-0.27590789936709914,BitcoinDark,0
XPY,SHA-256,PoS,11995334.8847328,12500000,-0.2648259804537923,0.6335945799484438,-0.06508716162078178,PayCoin,0
PRC,Scrypt,PoW,5768310.0,21000000,-0.17882130188619555,-1.1232558940852877,0.023689892543245807,ProsperCoin,3
KOBO,X15,PoW/PoS,25542535.5881841,350000000,-0.22356865601924633,1.8212094151344607,-0.5082092783894998,KoboCoin,0
SPR,X11,PoW,11149733.9976203,20000000,-0.22007415269324399,-0.8540576953182909,0.0048023416299448445,Spreadcoin,3
ARG,Scrypt,PoW,12205795.4449549,64000000,-0.17843667244752548,-1.1232768954760306,0.023682269539898264,Argentum,3
AUR,Scrypt,PoW/PoS,18135099.992959,16768584,-0.3450272947696406,1.0229837545641989,-0.41344779732254844,Aurora Coin,0
BLU,Scrypt,PoW/PoS,635423900.0,0,-0.3375905570571264,1.0232004777671513,-0.41365058296806956,BlueCoin,0
XMY,Multiple,PoW,1688254250.0,2000000000,-0.08933030733930561,-1.85406937907984,0.2683465017288034,MyriadCoin,3
MOON,Scrypt,PoW,88.0,384000000000,2.5520969754261777,-1.3301359200461103,-0.02529599829228221,MoonCoin,3
ZET,SHA-256,PoW,170204389.754849,169795588,-0.13664390490463277,-1.297075040614786,0.161151293318843,ZetaCoin,3
SXC,Scrypt,PoW,128940951.183046,250000000,-0.17568486593423807,-1.1233378316262432,0.023619786521761266,SexCoin,3
QTL,Scrypt,PoW,7357794.7925,100000000,-0.17823997080191264,-1.1232979224819832,0.023679286101052452,Quatloo,3
ENRG,Scrypt,PoW/PoS,123062801.128773,0,-0.3438621778400197,1.0230280922974866,-0.4134804914591517,EnergyCoin,0
QRK,Quark,PoW,259557164.91477,247000000,-0.22955315482256047,-0.44568251655453034,-0.020676397407840885,QuarkCoin,3
RIC,Groestl,PoW,49548585.1412917,84000000,-0.1990994507909777,-1.2798886774299139,0.12246536668833803,Riecoin,3
DGC,Scrypt,PoW,33442988.3440364,48166000,-0.17828933268238167,-1.1232612192019917,0.023677239396859347,Digitalcoin ,3
BTB,Scrypt,PoW/PoS,42579.476901,500000,-0.34536446624084916,1.0229864323778002,-0.4134397155067689,BitBar,0
CAT,Scrypt,PoW,7219956.64626131,21000000 ,-0.17880353282196315,-1.1232554056743025,0.02368941063162331,Catcoin,3
CBX,Scrypt,PoW/PoS,1039116.65144562,1000000,-0.34534871183203425,1.0229864982785628,-0.41344011012273374,CryptoBullion,0
CCN,Scrypt,PoW,4703879.51824446,13140000,-0.17889023416794336,-1.1232520174488057,0.02369124868244288,CannaCoin,3
CRYPT,X11,PoW,4996986.20575291,18000000,-0.22016369085852355,-0.8540586878802789,0.004804639352369784,CryptCoin,3
CSC,Scrypt,PoC,39999997299.8568,40000000000,0.696955173732664,0.5250762747378751,-0.3731746529272462,CasinoCoin,0
DMD,Groestl,PoW/PoS,3304487.74735637,4380000,-0.3665590668280304,0.8663718688509832,-0.31464324774917635,Diamond,0
XVG,Multiple,PoW,15929530669.1206,16555000000,0.18851193316824763,-1.8571197202938001,0.2617618239614802,Verge,3
DVC,SHA-256,PoW,18773857500.0,21000000000,0.23922794097622196,-1.3020385667363275,0.1523178251246196,DevCoin,3
EAC,Scrypt,PoW,12539015186.822,13500000000,0.0704607101962176,-1.126301185760925,0.01780951474836206,EarthCoin,3
EFL,Scrypt,PoW,20910478.8062499,21000000 ,-0.1786359522552566,-1.1232507994559588,0.023684865708956213,E-Gulden,3
EMC2,Scrypt,PoW,218871896.499999,299792458,-0.1742299139829811,-1.123334400988285,0.023583579128859018,Einsteinium,3
EMD,Scrypt,PoW,19496786.31025,32000000,-0.17857502100599448,-1.1232572016164089,0.023683931647451667,Emerald,3
EXCL,PoS,PoS,5679705.0,0,-0.3595380566605959,1.5418748516576926,-0.10733708739204138,Exclusive Coin,0
FLT,Scrypt,PoS/PoW/PoT,461829905.32893,0,-0.3405680292018564,0.11860620187852629,-0.029297817276217004,FlutterCoin,0
FRK,Scrypt,PoW,1142732.14912776,11235813,-0.17894736806616868,-1.1232521896804488,0.023692673832363058,Franko,3
FTC,NeoScrypt,PoW,208669093.00773,336000000,-0.17619945044066457,-1.6299386147887986,0.23865927301891085,FeatherCoin,3
GDC,Scrypt,PoW,884125802.0,1420609614,-0.1581151577116695,-1.1237144419409302,0.023219737734622,GrandCoin,3
GLC,Scrypt,PoW,65672720.4708748,70000000,-0.17773952975955126,-1.1232621390113078,0.023663754335938186,GlobalCoin,3
GLD,Scrypt,PoW,41658647.9999715,72245700,-0.17801750486844356,-1.1232714285457925,0.023671439922915725,GoldCoin,3
HBN,Scrypt,PoW/PoS,89266933.684704,120000000,-0.34342237972562384,1.022952068636462,-0.41348458157402357,HoboNickels,0
HYP,X11,PoS,1678520090.7713,0,-0.32493349994853205,1.0771521757016005,-0.22205967766516166,HyperStake,0
IFC,Scrypt,PoW,90595753018.6314,90600000000,1.5742854248010847,-1.1415782681624624,-0.017939807576878453,Infinite Coin,3
IOC,X11,PoW/PoS,17650913.9743456,22000000,-0.3863076243732574,1.2921766225007392,-0.43233419599524436,IOCoin,0
IXC,SHA-256,PoW,21089348.999,21000000,-0.13952745109570835,-1.2970450435642578,0.1612197791605745,IXcoin,3
KGC,Scrypt,PoW,151447649.8,265420800,-0.17529969188547692,-1.1233385675116465,0.023610347465238848,KrugerCoin,3
LKY,Scrypt,PoW,19326319.14375,20000000,-0.17866245570098607,-1.1232507936768779,0.023685519191087058,LuckyCoin,3
LTB,Scrypt,PoW,1104344.22938102,1350000,-0.17901814921342546,-1.1232468763724452,0.02369394780219531,Litebar ,3
MAX,SHA3,PoW/PoS,61445805.0,100000000,-0.4421673359276616,2.0443853067333504,-0.5414963298156414,MaxCoin,0
MEC,Scrypt,PoW,38151999.9930997,42000000,-0.17827554611351795,-1.1232563127570898,0.023676462773241563,MegaCoin,3
MED,HybridScryptHash256,PoW,40431856.9,200000000,-0.14684176500109486,-2.2218044229951546,0.31189980632479525,MediterraneanCoin,3
MINT,Scrypt,PoS,21293925445.4969,0,-0.04351704124202569,0.8145559898481078,-0.2096856264495992,MintCoin,0
MINC,Scrypt,PoW,5804204.88794916,10000000,-0.178899098241205,-1.1232499554890862,0.02369128400027587,MinCoin,3
MZC,SHA-256,PoW/PoS,1613836099.99999,2419200000,-0.2693016962635741,0.8484319600586102,-0.2767490594080072,MazaCoin,0
NAUT,Scrypt,PoS,16180000.0,16180000,-0.3038548957997766,0.8073883094915582,-0.20262399315286958,Nautilus Coin,0
NAV,X13,PoW/PoS,66087096.2077108,0,-0.2752612221677215,1.7812435570748208,-0.47225498507798525,NavCoin,0
NOBL,Scrypt,PoW,2366066305.76482,15000000000,-0.043394047476883836,-1.1305320674589565,0.020995318971072447,NobleCoin,3
NMC,SHA-256,PoW,14736400.0,21000000,-0.13960521517081587,-1.2970471810335145,0.16122188818618877,Namecoin,3
NYAN,Scrypt,PoW,334709223.483138,337000000,-0.17254735988396977,-1.123315473636883,0.023540377018882005,NyanCoin,3
OPAL,X13,PoW/PoS,15156364.3306548,0,-0.27588464622788494,1.7812264212732265,-0.47223807730521644,OpalCoin,0
ORB,NeoScrypt,PoW/PoS,3220616.279225,3770000,-0.3474044758021216,0.5164044665092055,-0.19836426158104148,Orbitcoin,0
POT,Scrypt,PoW/PoS,222677226.014206,420000000,-0.33965565242957063,1.0228353225968372,-0.413567144384935,PotCoin,0
PXC,Scrypt,PoW/PoS,73959274.625,98000000,-0.34376622652276856,1.0229587713659396,-0.4134766930544354,PhoenixCoin,0
RDD,Scrypt,PoW/PoS,29315567169.0888,0,0.013472361222670952,1.03285000029801,-0.42317169777433256,Reddcoin,0
RPC,Scrypt,PoW,1104157.42169891,21000000,-0.17887839403528563,-1.1232574633537873,0.023691440929240984,RonPaulCoin,3
SBC,Scrypt,PoW,24215181.725,250000000,-0.17696677495052482,-1.1233730669339077,0.02365455294760618,StableCoin,3
SMC,Scrypt,PoW,25593737.1355044,51200000,-0.1783638335967314,-1.123265494748501,0.023679458082801964,SmartCoin,3
SUPER,X11,PoS,50707661.7493518,0,-0.344858943708797,1.0766044931965837,-0.2215192832579802,SuperCoin,0
SYNC,X11,PoW/PoS,1177.0,1000,-0.3866801325587687,1.2921825366921156,-0.4323255300899402,SyncCoin,0
SYS,SHA-256,PoW,563336541.299966,888000000,-0.1267236077447196,-1.2973297202987002,0.16092915486130885,SysCoin,3
TES,Multiple,PoS,80260463.7331396,100000000,-0.24765336097621385,0.07705138160511858,0.04281167346293642,TeslaCoin,0
TGC,SHA-256,PoW,43536800.0,47011968,-0.13906767429580588,-1.2970515056347127,0.16120900855809997,TigerCoin,3
TIT,PHI1612,PoS,1622326490.46336,2300000000,-0.3120210596801504,1.6438570543534714,-0.2981257044105739,TittieCoin,0
TOR,X11,PoW/PoS,1431851.00002479,10000000,-0.386591503933455,1.292177630840785,-0.43232728070544935,TorCoin,0
TRC,SHA-256,PoW,22935396.0,42000000,-0.1393554952014206,-1.2970557367200937,0.16121648715041723,TerraCoin,3
UNB,SHA-256,PoW,2278150.0,80000000,-0.13933808394310632,-1.2970831603442878,0.16121849684038442,UnbreakableCoin,3
UNO,SHA-256,PoW,200911.79151896,250000,-0.1399307196891008,-1.2970408919728729,0.161229360889471,Unobtanium,3
URO,X11,PoW,1207310.0,0,-0.22033810097420367,-0.8540502649879083,0.004808193862312056,UroCoin,3
USDE,Scrypt,PoW/PoS,1098952592.6,1600000000,-0.3205369328351092,1.0224943942587974,-0.4140085903181066,UnitaryStatus Dollar,0
UTC,Scrypt,PoW/PoS,50235211.141939,100000000,-0.3440423992417289,1.0229497117827606,-0.4134690723971811,UltraCoin,0
VIA,Scrypt,PoW,23150892.1679687,23000000,-0.17859430351400968,-1.123251123210939,0.023683866787060918,ViaCoin,3
VRC,Scrypt,PoST,32021108.4136696,0,-0.3292284742268549,0.35168783092913786,-0.18184116094756209,VeriCoin,0
VTC,Lyra2REv2,PoW,51173723.8166347,84000000,-0.19626144165693923,-1.2763325508520884,0.18545549426229516,Vertcoin,3
WDC,Scrypt,PoW,119606941.0,265420800,-0.17568944210557005,-1.123349280416184,0.023620917811459034,WorldCoin,3
XC,X11,PoW/PoS,6950831.0970606,5500000,-0.3865559536863751,1.292181912203786,-0.4323285387662872,X11 Coin,0
XCR,Multiple,PoS,100000000.0,0,-0.24812297060532817,0.0771119004806722,0.04281787835247719,Crypti,0
XJO,SHA-256,PoW,39195739.362088,45000000,-0.13913512139599182,-1.2970518822009252,0.16121070637102056,JouleCoin,3
XST,X13,PoW/PoS,33093725.4123502,0,-0.27566508169264203,1.7812324563536055,-0.47224403207582494,StealthCoin,0
ZCC,Scrypt,PoW/PoS,147990237.978331,1000000000,-0.33644471122423325,1.0224977047325499,-0.41361634615386655,ZCC Coin,0
BCN,CryptoNight,PoW,184066828814.0,184467440735,3.874325091212292,-2.337272985685506,0.21278167195950176,ByteCoin,3
XDN,CryptoNight,PoW,6906587610.38292,10000000000,0.4649011558109568,-2.3028804901683038,0.29385304207295243,DigitalNote ,3
BURST,Shabal256,PoC,1813033920.0,2158812800,0.13045884649826303,1.0695424255209096,-0.5639131465305917,BurstCoin,0
SJCX,Counterparty,PoS,51173144.0,500000000,-0.36928707008946193,1.4870910310933014,-0.03104045562192624,StorjCoin,0
MONA,Scrypt,PoW,68194674.8711679,105120000,-0.17745887410617459,-1.123280212251644,0.02365843651989494,MonaCoin,3
NTRN,SHA-256,PoW/PoS,39121694.0,68000000,-0.30529971883007273,0.8491689090992552,-0.27592632760532204,Neutron,0
FAIR,Groestl,PoW/PoS,53193831.0,0,-0.36597954206251976,0.8663910141063808,-0.31465925100835784,FairCoin,0
NLG,Scrypt,PoW,415032420.0,1680000000,-0.16201228213414082,-1.1240120227737715,0.023342372540009895,Gulden,3
RBY,Scrypt,PoS,27184490.3918338,0,-0.3038352715922352,0.8074007293572932,-0.20262558214337556,RubyCoin,0
PTC,Scrypt,PoW,137517654.41397,166386000,-0.17617457284217033,-1.1232898968788376,0.02362760668638696,PesetaCoin,3
KORE,X13,PoW/PoS,2022464.886973,12000000,-0.2759600653137903,1.7812155370385752,-0.4722352481204997,Kore,0
WBB,Scrypt,PoW,181919.2435974,2628000,-0.17902035070357464,-1.1232478752789554,0.023694090978552275,Wild Beast Coin,3
NOTE,Scrypt,PoS,174646113.934655,500000000,-0.2984740793657188,0.8071809560357628,-0.2027383255344037,Dnotes,0
FLO,Scrypt,PoW,152270664.860648,160000000,-0.17603940615128297,-1.1232814925692218,0.02362352376524298,Flo,3
8BIT,Scrypt,PoW/PoS,1467841.0,0,-0.34535057631663857,1.022987181298668,-0.41344012486947396,8BIT Coin,0
STV,X13,PoW/PoS,7096834.0,10000000,-0.27591217653571315,1.7812183218746471,-0.47223667752970006,Sativa Coin,0
ABY,Scrypt,PoW,792537250.0,1000000000,-0.16222777719228876,-1.1235186434661655,0.02330380403865048,ArtByte,3
FLDC,Stanford Folding,PoW,719416990.0,1000000000,-0.12325194156640248,-2.117619841906819,0.3420483903837467,Folding Coin,3
U,X11,PoS,2689812.0,20000000,-0.3453044654836525,1.0765775619535953,-0.22150589407947405,Ucoin,0
UIS,Multiple,PoW,65113302.0,0,-0.12342324759514321,-1.853537940895009,0.2691405040927121,Unitus,3
CYP,QuBit,PoW,6365285.0,0,-0.17849268995720396,-1.6559693184077449,0.17099934368820705,CypherPunkCoin,3
OMC,Scrypt,PoW,10140044.4430293,3371337,-0.17889317014869888,-1.1232449253280676,0.02369069028704172,OmniCron,3
VTR,Scrypt,PoW/PoS,11604722.0,20000000,-0.3450842477601658,1.0229798163939432,-0.4134460416568687,Vtorrent,0
GRE,Scrypt,PoW,4610340640.89,10000000000,-0.0514844197200575,-1.1270831020578995,0.02088817104046365,GreenCoin,3
XCN,M7 POW,PoW,708506520.0,1840000000,-0.1217538391646927,-2.021138149556623,0.3652838506937841,Cryptonite,3
MSC,Scrypt,PoW,619478.0,619478,-0.1790292800000222,-1.1232466459205723,0.02369420196562126,MasterCoin,3
SOON,SHA-256,PoW,12462620.0,21000000,-0.13963304766226606,-1.2970479460537983,0.16122264302622663,SoonCoin,3
1CR,Scrypt,PoW,88213.0,92000000000,0.4752950151185057,-1.1728137428682408,0.01195715368830895,1Credit,3
ISL,X11,PoW/PoS,1513704.0,0,-0.3866616253932111,1.2921830461252568,-0.4323260320847903,IslaCoin,0
NXS,SHA3,PoW/nPoS,63657220.0,78000000,-0.4842700448488588,2.291073706185772,-0.48863327371999676,Nexus,0
MARS,X11,PoW,32221574.820996,33000000,-0.21972375975331643,-0.8540576097007616,0.004793687755733135,MarsCoin ,3
CTO,Lyra2RE,PoW,13742738.0,65789100,-0.14760148057876413,-2.178711228852324,0.29898499315034827,Crypto,3
ACP,SHA-256,PoW,14747200.0002,53760000,-0.13937208274068533,-1.2970648276517147,0.16121770510010547,Anarchists Prime,3
DRZ,QUAIT,PoW/PoS,8568038.35935056,5060000,-0.3884604373260779,1.9091131863418704,-0.5276398704963923,Droidz,0
BSC,X11,PoW,15863837.5,21000000,-0.22000933677438025,-0.854056648018127,0.004800649082061844,BowsCoin,3
SQL,X11,PoS/PoW,329200.01639,0,-0.28395473174293606,0.7709361891856668,-0.2970901190458071,Squall Coin,0
SONG,Scrypt,PoW,32565300.0,210240000,-0.1771473508780784,-1.1233488358376593,0.023656853466491882,Song Coin,3
ZNY,Scrypt,PoW,75614500.0,250000000,-0.1763376150993374,-1.1233557734749764,0.023637489615471987,BitZeny,3
DIGS,Scrypt,PoS,100000000.0,100000000,-0.3022327302269872,0.8073713509119717,-0.2026625130725112,Diggits,0
EXP,Ethash,PoW,10495278.0,16906397,-0.15666495028218053,-1.9682599421744462,0.3027359510998581,Expanse,3
CON,X13,PoW/PoS,23042604.0,50000000,-0.27543249675581477,1.7812021358989596,-0.4722470743156869,Paycon,0
SC,Blake2b,PoW,33098296530.0,0,0.3731105572026335,-2.2338567688864934,0.3260549698326043,Siacoin,3
EMC,SHA-256,PoW/PoS,43059794.804778,1000000000,-0.29862281389865303,0.8486680962720566,-0.27604653894909015,Emercoin,0
EGC,X15,PoW/PoS,13530556.4180753,26298000,-0.22601796858388054,1.821379776043099,-0.5081639929995727,EverGreenCoin,0
MND,X11,PoW,15867695.0,16000000,-0.22004485125203746,-0.8540539528478702,0.004801285698403984,MindCoin,3
I0C,SHA-256,PoW,20997476.8650231,21000000,-0.13952857566817511,-1.2970450744749202,0.16121980965990385,I0coin,3
DCR,BLAKE256,PoW/PoS,10365046.9281661,21000000,-0.0620310430540031,0.8846934201356476,-0.3576343891610522,Decred,0
RVR,Scrypt,PoW,210000000.0,210000000,-0.17497714596994526,-1.1232890080805131,0.023597980051019686,Revolution VR,3
HODL,1GB AES Pattern Search,PoW,11448949.0,81962100,-0.1664287541745511,-2.1339510888807847,0.19190013569207065,HOdlcoin,3
EDRC,SHA-256,PoW/PoS,3669691.84494672,22000000,-0.30606084114490956,0.849181764789927,-0.27590868974509924,EDRCoin,0
HTC,X11,PoW/PoS,10996318099.0,26550000000,-0.06324572758526936,1.2815778195387895,-0.4393632743141228,Hitcoin,0
GAME,Scrypt,PoW,69836100.0,84000000,-0.17758899463781158,-1.1232682810721322,0.023660586083070402,Gamecredits,3
DBIC,SHA-256,PoW/PoS,5129014.0,10500000,-0.3061247700281506,0.8491884516898552,-0.2759077070418456,DubaiCoin,0
DIEM,SHA-256,PoW,21739971929.0,21626280000 ,0.2799893552800643,-1.301378032081747,0.15125324636068577,CarpeDiemCoin,3
PWR,NIST5,PoW/PoS,10069449031.9252,0,-0.2259669525060218,1.4696511681156497,-0.45266064707618797,PWR Coin,0
BLRY,Scrypt,PoW/PoS,8998743.2411911,42000000,-0.3449596751106627,1.0229670865658513,-0.4134479832813989,BillaryCoin,0
GPU,Scrypt,PoS,40477042.0,221052632,-0.3021003611401193,0.8072861041608396,-0.20265819670889312,GPU Coin,0
ADZ,X11,PoW,45110324.0,84000000,-0.21920326409220178,-0.8540807507397755,0.004782902453551692,Adzcoin,3
SOIL,Dagger,PoW,5702048.0,30000000,-0.1497413616087378,-2.2566604905218197,0.3464351140900031,SoilCoin,3
YOC,Scrypt,PoW,636462.55983338,168351300,-0.17783610648991624,-1.1233370098308797,0.023672797203993217,YoCoin,3
SIB,X11GOST,PoW,17263355.0,24000000,-0.15996876768605764,-2.003709368379007,0.30394900610522313,SibCoin,3
ERC,X11,PoW/PoS,10407269.7881868,384000000,-0.38382162433412736,1.2919791489933676,-0.4323779750187237,EuropeCoin,0
ZEIT,Scrypt,PoS,36971236046.8073, 99000000000,0.8525046387662011,0.7664919959765749,-0.22752047428079084,ZeitCoin,0
SWING,SHA-256,PoW/PoS,4377081.60953993,40000000,-0.30592416014595136,0.8491723048527908,-0.27591122101039467,SwingCoin,0
SAFEX,Scrypt,PoC,2147483647.0,2147483647,-0.03560323835165358,0.5327346496755371,-0.35577933184625526,SafeExchangeCoin,0
NEBU,PoS,PoS,20000000.0,20000000,-0.35922052049635633,1.5418688942754917,-0.10734439297183573,Nebuchadnezzar,0
FRN,Scrypt,PoW,6570807.65677618,20000000,-0.178818591151383,-1.1232550853080014,0.023689753712795705,Francs,3
BOLI,X11,PoW,13654082.4987998,25000000,-0.22000793620304235,-0.854059546594914,0.004800872349795193,BolivarCoin,3
XRA,X11,PoW/PoS,134554941.15119,75000000,-0.3844996918780171,1.292187400173394,-0.43237976701604325,Ratecoin,0
REV,SHA-256,PoW/PoS,1195525.0,222725000,-0.30466350221601807,0.8490727868418089,-0.27593347675408436,Revenu,0
CKC,SHA-256,PoW/PoS,16662820.0,525000000,-0.30232429051278203,0.8489151328055589,-0.2759771755818628,Clockcoin,0
VIP,NIST5,PoW/PoS,83450403.0,90000000,-0.34756172022747145,1.4662428584194576,-0.4493570188846756,VIP Tokens,0
BSD,X11,PoW/PoS,24387724.5010828,139000000,-0.38539301790916713,1.2921158525074823,-0.432351359241986,BitSend,0
OMNI,Scrypt,PoW,616448.0,616448,-0.1790293386395077,-1.1232466453075387,0.023694203358073672,Omni,3
LIR,POS 3.0,PoS,38589808.6658096,33500000,-0.37150469870347025,1.5453882685947662,-0.12706173116516345,Let it Ride,0
PUT,Scrypt,PoW/PoS,813092338.575672,2000000000,-0.3211911057316123,1.0221827059048156,-0.413964723373745,PutinCoin,0
IBANK,Scrypt,PoW/PoS,4526324.0,44333333,-0.3449978248679051,1.0229643246663553,-0.4134467962314363,iBankCoin,0
FRWC,Scrypt,PoW/PoS,100000000.0,100000000,-0.3434332470544412,1.0229664552992355,-0.41348559310503064,Frankywillcoin,0
MUDRA,X13,PoS,5000000.0,200000000,-0.23338598182664053,1.5655201448503373,-0.26143714148262176,MudraCoin,0
PIZZA,X11,PoW,1377917.0,25000000,-0.22015820415829127,-0.854063676948604,0.004804947740214142,PizzaCoin,3
