,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
SUCR,X11,PoW,4229040.50393462,19800000,-0.22016028878442512,-0.8540599160520357,0.004804664648895322,Sucre,3
SPK,NeoScrypt,PoW,7847417.33355824,21000000,-0.1808980203816148,-1.6298364678995443,0.23876612847161088,SparksPay,3
WAGE,Quark,PoS,27299680.0,120000000,-0.3584261570405638,1.4849458676967544,-0.2468941351498752,Digiwage,0
GUN,NeoScrypt,PoW,299797953.0,500000000,-0.17391755248841909,-1.6299963132175646,0.23860809741898137,GunCoin,3
IRL,Scrypt,PoW,45483049.3398182,64000000,-0.17802933801564852,-1.1232656992414718,0.023671222295405848,IrishCoin,3
TROLL,Scrypt,PoW/PoS,591022748.0,900000000,-0.3317329497123654,1.0227006418327642,-0.4137506643071151,Trollcoin,0
LCP,Scrypt,PoW/PoS,2504486.227718,4000000,-0.34530943777301865,1.022985374983236,-0.4134409793282009,Litecoin Plus,0
MONK,X11,PoS,4407252.0,21000000,-0.3452763306031077,1.0765776010170949,-0.22150659180745794,Monkey Project,0
PCOIN,X11,PoW,8478104.33969947,23000000,-0.22008551809618798,-0.8540602105197507,0.004802845808295565,Pioneer Coin,3
UBTC,SHA-256,PoW,20166000.0,20166000,-0.13954468515669513,-1.2970449048899582,0.16122019209134847,UnitedBitcoin,3
ITZ,C11,PoW,11916588.09471,23000000,-0.1810990977103455,-1.2540227964681065,0.06737142022959194,Interzone,3
TPAY,POS 3.0,PoS,20445861.5344251,25000000,-0.3717872468643478,1.5453867435909363,-0.12705462338818,TokenPay,0
MCT,Ethash,PoS,1618033.0,1618033,-0.2820091073977353,-0.03761658833183834,0.07642980441171547,1717 Masonic Commemorative Token,0
MBC,Scrypt,PoW and PoS,9399342.52839847,30000000,-0.3323336296399322,0.16419513414591844,-0.18959742674982402,My Big Coin,0
TRTL,CryptoNight,PoW,53139835213.77,1000000000000,8.072040849009442,-2.820711904681878,0.152201126700501,TurtleCoin,3
MUN,SkunkHash,PoW,4818338.98949984,16600000,-0.16160860881229305,-2.207719799197744,0.44177513814703423,MUNcoin,3
USX,Scrypt,PoW/PoS,234846265.782157,232000000,-0.3408438155252125,1.0229407065095777,-0.41354719928729355,Unified Society USDEX,0
NBR,CryptoNight,PoW,133932467.774108,336000000,0.3132659688258507,-2.2999524542953877,0.2973343271927695,Niobio Cash,3
SSS,Scrypt,PoW,10000000000.0,10000000000,0.014488386809904136,-1.1252697345676663,0.019098934318621946,ShareChain,3
TRF,Dagger,PoW,107325266.027783,100000000,-0.14799956602310438,-2.256664013290588,0.3463924470791465,Travelflex,3
KREDS,Lyra2REv2,PoW,643795911.540095,1100000000,-0.18178123827106238,-1.2766805561613752,0.18512913735255868,KREDS,3
TOKC,X13,PoS,230298925.0,800000000,-0.22636077835709456,1.5652726826808192,-0.2615884829163798,Tokyo Coin,0
BBP,Proof-of-BibleHash,POBh,1772091549.88818,5200000000,-0.206449047842958,2.6138981108051187,18.667196069025895,BiblePay,1
LCC,SHA-256 + Hive,PoW + Hive,638382332.208514,840000000,-0.35585698415153494,2.640242186992441,12.452327238200809,LitecoinCash,1
FLIP,Scrypt,PoW,12446100.00278,40000000,-0.17860442710940871,-1.1232638840373546,0.02368525166989662,BitFlip,3
LOT,Scrypt,PoW,14491014421.0,18406979840,0.12925450846120418,-1.1282881851079405,0.01653546866858378,LottoCoin,3
CIF,X11,PoW,211297638.500483,500000000,-0.21421029416964152,-0.8542489666887743,0.0046746592540128735,Crypto Improvement Fund,3
SPD,C11,PoW/PoS,11251342.1879021,19340594,-0.3474605425470781,0.8922121593283765,-0.3697620162917538,Stipend,0
POA,Proof-of-Authority,PoA,204479039.0,252460800,-0.33246303727591436,2.832705476417281,-6.402262015073515,Poa Network,0
PUSHI,X11,PoW/PoS,2167827.1,25000000,-0.38647581003737014,1.2921697968450427,-0.43232943872255425,Pushi,0
ELP,XEVAN,PoW/PoS,419275.38,60000000,-0.2449197896552239,1.272947570002304,-0.43251774295684137,Ellerium,0
VLX,Scrypt,PoS,25570013.1348022,124000000,-0.3029731037474744,0.8073333781261962,-0.20264086602000989,Velox,0
ONT,VBFT,PoS,650848625.0,1000000000,-0.3040829177769961,1.4310895565075767,-0.16637684864255894,Ontology,0
CLO,Ethash,PoW,247612453.0,6500000000,-0.10765252692886654,-1.9716730887413674,0.3018301248123581,Callisto Network,3
TUBE,CryptoNight,PoW,80049082.9057215,1000000000,0.3173289956555926,-2.3003283297794583,0.29726750246151534,BitTube,3
PSD,Scrypt,PoW,4070212.1493016,21000000,-0.17884208766754267,-1.1232564654155397,0.02369045627071539,Poseidon,3
ADK,IMesh,PoW,25000000.0,25000000,-0.1344125540548246,-2.213564863434196,0.22804997039491415,Aidos Kuneen,3
BSX,NIST5,PoW/PoS,13787854.6277781,50000000,-0.3486989270217575,1.4662409712196278,-0.44932878942577936,Bitspace,0
BRIA,Scrypt,PoW/PoS,845637.81347436,3000000,-0.3453368554558532,1.0229853556330564,-0.4134403010512085,Briacoin,0
IC,Scrypt,PoW/PoS,1182153.5,5000000,-0.34531851161471383,1.0229843913058398,-0.41344066792506345,Ignition,0
BTL,Equihash,PoW,71355477.0,70000000,-0.134816228992046,-2.214329505561113,0.22680188715683322,Bitrolium,3
MEDIC,Scrypt,PoS,267297676.3125,500000000,-0.29733996620713465,0.8072121289392694,-0.20276908361514637,MedicCoin,0
ALPS,Lyra2Z,PoW,27340501.6514783,300000000,-0.15259260410050327,-2.1824234967279175,0.29774422628417113,Alpenschillling,3
BITG,Green Protocol,PoS,9803691.3618195,21000000,-0.35964513050364555,1.5042591327700066,-0.08491197830719625,Bitcoin Green,0
DEV,PoS,PoS,21876586.8530324,88000000,-0.3587139108339394,1.5418328889944255,-0.107353691351713,Deviant Coin,0
ABJ,Scrypt,PoW/PoS,9880502.37178894,30000000,-0.3450342298966845,1.0229738485301605,-0.41344674505147816,Abjcoin,0
SEM,Semux BFT consensus,DPoS,1231147.0,100000000,3.8349614766563955,1.9485136105784757,0.18697442021850968,Semux,0
FTO,X11,PoW,31801461.1867843,100000000,-0.21925237548264495,-0.8540938489393024,0.004785279404329867,FuturoCoin,3
CARE,Quark,PoW/PoS,139739596.506702,200000000,-0.397681351725893,1.7005357008819881,-0.4577647488697506,Carebit,0
NZL,PoS,PoS,11075254.0929996,80000000,-0.3589030246260579,1.5418335650485748,-0.10734908493503621,Zealium,0
XMC,CryptoNight,PoW,16016864.0,18400000,0.30956372905380264,-2.2998210125892693,0.297413991538575,Monero Classic,3
PROTON,X16R,PoS,4403800.0,45000000,-0.31698329507297146,0.6409417435251373,-0.052591516905317034,Proton,0
DEAL,Scrypt,PoW/PoS,1404157529.46026,5121951220,-0.2917517216002983,1.0206995439702449,-0.41455923936551214,iDealCash,0
JUMP,NIST5,PoW,21069346.2522598,21000000,-0.18248877996587343,-0.6799741624661936,-0.012193382671175514,Jumpcoin,3
INFX,Lyra2RE,PoW,5097689.71077377,26280000,-0.14798830350459624,-2.178692851010724,0.2989929036443525,Infinex,3
XBI,XEVAN,PoS/PoW,10904963.0923455,21000000,-0.14234742677642992,0.7517256517392853,-0.29728072854348736,Bitcoin Incognito,0
KEC,Tribus,PoW,795447.0,18000000,-0.15996475211607622,-2.2053627904162325,0.3508754823872997,KEYCO,3
HWC,Scrypt,PoS,38706809.466535,26000000,-0.3035093103708691,0.8073905979406081,-0.20263272433907328,HollyWoodCoin,0
GIN,Lyra2Z,PoW,6986399.70430446,10500000,-0.15490077324881382,-2.1822743697168696,0.2977879175871376,GINcoin,3
PLTC,CryptoNight,PoW,84300.0,600000518,0.3135052446388024,-2.3001397246648905,0.29734508052694975,PlatinCoin,3
LOKI,CryptoNight Heavy,PoW,19153632.0,150000000,0.5840411730205969,-2.271275671930008,0.291727887719934,Loki,3
NCP,CryptoNight,PoW,41294520017.0,184000000000,2.123378004776746,-2.3850573235468633,0.26023826566650493,Newton Coin,3
SIC,Scrypt,PoW/PoS,10200000000.0,10200000000,-0.14796829495265612,1.0209230091786794,-0.4181271009597001,Swisscoin,0
XT3,Scrypt,PoS,7630000.0154,44000000,-0.30376168787929614,0.807370444111758,-0.20262470401796542,Xt3ch,0
MGD,Jump Consistent Hash,PoW,135862416.039898,168000000,-0.13518114885446963,-2.0456874329252583,0.21696099026352825,MassGrid,3
VIG,SHA-256D,PoW/PoS,33238183.7225834,100000000,-0.34505373137007794,1.9157409849778253,-0.5606795333214294,TheVig,0
PLURA,CryptoNight,PoW,560085952.404637,1000000000,0.32320494762372015,-2.3001668198963174,0.29710814181596884,PluraCoin,3
EMAR,Scrypt,PoW/PoS,21599339.6728,84000000,-0.34450671767224167,1.0229486975472588,-0.4134575247093387,EmaratCoin,0
DKD,X15,PoS,30284196.369129,90000000,-0.18415930647917467,1.6057559874578073,-0.297354601833,Dekado,0
LYNX,Scrypt,HPoW,77872059787.8998,92000000000,2.2266189701191506,0.2702541998666668,-0.22737521358671467,Lynx,0
POSQ,Quark,PoS,2716264.95302831,650000000 ,-0.35495753367670496,1.484652046057798,-0.24695359112541448,Poseidon Quark,0
BWS,SHA-256,PoS,57811001.000889,100262205,-0.2636409734338371,0.6335627107342374,-0.06511356796365579,BitcoinWSpectrum,0
MUSE,DPoS,PoS,18194936.0,18081806 ,0.9762978986007382,1.7544123750028129,0.008546971919671662,Muse,0
XMN,X16R,PoW,8125865.02097646,22075700,-0.19197402201659797,-1.2896827567855573,0.1737212163263364,Motion,3
PLUS1,HMQ1725,PoW,8645406.16776286,21000000,-0.14048229318153957,-2.2859824890189464,0.31593032032409757,PlusOneCoin,3
AXE,X11,PoW,4993030.69736615,21000000,-0.22014240225889975,-0.8540603055345554,0.004804257927339675,Axe,3
TRVC,X16R,PoW/PoS,36923120.6205934,82546564,-0.3575187111485669,0.8565275600075626,-0.2634301827344385,Trivechain,0
DTEM,Quark,PoS,7082392.24744494,21000000,-0.35937775088465396,1.4849924042013316,-0.2468747931392916,Dystem,0
GIC,Quark,PoW/PoS,5919489.76813523,5151000,-0.40070522583045365,1.7005956563631737,-0.45769546511056014,Giant,0
PNY,Scrypt,PoS,1042012.45227735,16880000000,-0.18409898662837554,0.7982974204542155,-0.20477044353813145,Peony Coin,0
ABS,Lyra2REv2,PoW/PoS,13332617.9413708,52500000,-0.36327595405325136,0.869904896813311,-0.25166204888557275,Absolute Coin,0
VITAE,Quark,PoS,66053877.6256106,100000000,-0.35809402817026886,1.4849696821554559,-0.24690444901963665,Vitae,0
HEX,Scrypt,PoW,1416663.06600024,22105263,-0.17886670776511882,-1.1232579536977965,0.023691196176138317,HexCoin,3
TPC,Scrypt,PoW/PoS,5403802.49590733,1000000000,-0.3381900585078197,1.0224497310871998,-0.4135690109014132,TPCash,0
WEBC,CryptoNight-V7,PoW,15580199.3087496,1750000000,-0.1301612504943319,-2.207274815924758,0.33521696805692514,Webchain,3
RYO,Cryptonight-GPU,PoW,4890897.0,88188888,-0.1557341729522154,-2.1847379574398675,0.41667356573817915,Ryo,3
URALS,XEVAN,PoW,14746153.0962884,210000000,-0.07735029394821603,-0.8733616338732012,0.004592488189343849,Urals Coin,3
QWC,CryptoNight Heavy,PoW,99553110528.8022,184470000000,3.113345508191472,-2.3370940773459496,0.23516958548069972,Qwertycoin,3
ARE,X11,PoS,19269509.94,55000000,-0.3448525877245622,1.0765642831373046,-0.221515863417286,ARENON,0
EUNO,X11,PoW/PoS,30771125.9760867,50000000,-0.3859478792632268,1.2921659511510948,-0.43234212381157283,EUNO,0
MMO,Scrypt,PoS,107763867.917675,260000000,-0.3009997213525916,0.8072877591727896,-0.2026855031911732,MMOCoin,0
KETAN,PoS,PoS,9327131.59708692,210000000,-0.3579998186476855,1.5417629362052592,-0.10736508992100653,Ketan,0
PPAI,SHA-256,PoW,2100000000.0,2100000000,-0.09929372939534213,-1.2974656998126017,0.1602643934925952,Project Pai,3
XDNA,Keccak,PoW/PoS,4672513.84432375,366000000,-0.3424402284069989,0.9236645540321647,-0.33427368999682283,XDNA,0
PAXEX,X11,PoS,4504639.0,100000000,-0.34471326373042516,1.0765350705995018,-0.22151670290922518,PAXEX,0
AZART,X11,PoW,5015881.37315389,25000000,-0.2201136731956161,-0.8540624529442864,0.004803740023915978,Azart,3
TSC,Scrypt,PoW/PoS,1059954080.43439,18000000000,-0.2043719365867951,1.013645371652772,-0.4160879457138911,ThunderStake,0
KCASH,SHA-512,Zero-Knowledge Proof,1000000000.0,1000000000,-0.0897777154537035,1.9629707146573232,-0.4255101820620008,Kcash,0
XCG,X16R,PoW,9753753.61515394,100000000,-0.19139987158897734,-1.2897241927014693,0.17371073437215606,Xchange,3
AAC,ECC 256K1,DPOS,1000000000.0,1000000000,-0.32393572281608723,3.355857211108248,18.451034802149977,Acute Angle Cloud,1
CRYP,Equihash,PoW,4235111504.0,7600000000,-0.03029333314285161,-2.2169855688405584,0.2244589479398837,CrypticCoin,3
BTXC,XEVAN,PoS,6787405.18013774,50000000,-0.20371244632189425,1.0573599959367022,-0.2216955011957176,Bettex coin,0
ACM,Lyra2Z,PoW,13634850.0,84000000,-0.1542966351233981,-2.182311732749413,0.29777633337722775,Actinium,3
BSV,SHA-256,PoW,17992514.6469233,21000000,-0.1395653582879727,-1.2970460855037136,0.16122080723477644,Bitcoin SV,3
BITM,XEVAN,Pos,208515864.367343,70000000000,0.7297084921872173,0.5253794406993805,-0.3188269887545679,BitMoney,0
JMC,X11,PoS,17209923728.3266,0,-0.1348193908653225,1.0823777642884604,-0.22721572851707492,Junson Ming Chan Coin,0
FRED,CryptoNight,PoW,1867054873.28397,8080000000,0.3895584272312726,-2.30354160948081,0.295770997638041,FREDEnergy,3
HERB,Quark,PoW/PoS,35312185.7437239,54000000,-0.3999980101643725,1.7005792270317892,-0.45771145490116805,HerbCoin,0
UMO,Blake,PoW,1578281.31341127,105120001.44,-0.14593432328747458,-2.1404808608166364,0.31818175133789245,Universal Molecule,3
LIT,Blake,PoW,15846721.2482747,25228800,-0.14632788196692315,-2.140433016815737,0.3181872070310532,Lithium,3
PIRATE,Equihash,PoS,13475920.0,105000000,-0.2604025371992367,-0.2837297327843491,0.0005055922939477728,PirateCash,3
EXO,Exosis,PoW,406091.925,21000000,-0.18280925790698027,-2.199380656314878,0.49415064388836966,Exosis,3
BLTG,Scrypt,PoW,35284717.173946,120000000,-0.17775588099560602,-1.1232993018724962,0.023667463449631165,Block-Logic,3
OWC,Scrypt,PoW/PoS,14777549.3940764,21000000,-0.3450382980262921,1.0229803451270136,-0.413447222538313,Oduwa,0
BEAM,Equihash,PoW,35687520.0,262800000,-0.133881568134536,-2.214445381874421,0.22678913075104315,Beam,3
GALI,Quark,PoW/PoS,18265011.2486006,19035999,-0.40045535409221744,1.7005923291688112,-0.45770133496516185,Galilel,0
BTH,Equihash,PoW,25150787.5,30886000,-0.13565999536769538,-2.214323977646269,0.2268222161378626,Bithereum,3
CSPN,Quark,PoS,1934701.67524713,13370000,-0.3594950289895706,1.4849947830942503,-0.24687211079963356,Crypto Sports,0
CREDIT,Scrypt,PoW/PoS,30825710000.0296,74800000000,0.5639604256642298,0.9930577615622694,-0.43321596692424075,Credit,0
SLC,QuBit,PoW,12925790.4226959,100000000,-0.1777011513439911,-1.6560209885532746,0.170984407820094,SLICE,3
DASHP,X11,PoS,715659.44237941,19700000,-0.34533076404927954,1.0765770593762305,-0.22150520043469385,Dash Platinum,0
NSD,Scrypt,PoW/PoS,20546528.2059957,84000000,-0.34451960474405546,1.022948343325598,-0.4134571752013617,Nasdacoin,0
BEET,XEVAN,PoW/PoS,198938144.363399,500000000,-0.23936036511376294,1.272777301516916,-0.43263978135681724,Beetle Coin,0
TTN,SHA-256D,PoW/PoS,896361168.0,5000000000,-0.2996381034435693,1.913391390422704,-0.5615912083039609,Titan Coin,0
AWR,X11,PoW/PoS,15420234.5389336,420000000,-0.3835042182952683,1.2919614397395947,-0.4323842320598954,Award,0
BLAST,SHA-256,PoW,52293836.6277958,64000000,-0.13883965803675496,-1.29705771202084,0.16120393411074027,BLAST,3
XRC,X13,PoW,1170292.5,2100000,-0.10971363372193349,-0.36501262383607846,-0.03509957795221678,Bitcoin Rhodium,3
GLT,SHA-256,PoW,84613099.9999955,168000000,-0.13770436673477235,-1.2971028706508378,0.16117993663963098,GlobalToken,3
INSN,X11,PoW/PoS,23775960.3207514,30000000,-0.3861757512559736,1.2921743730956237,-0.43233724999778517,Insane Coin,0
ALX,DPoS,DPoS,1000000000.0,1000000000,3.6667318334558687,2.010734037771751,0.13401245559372055,ALAX,0
LDOGE,Scrypt,PoW/PoS,15318887081.0146,35000000000,0.09107610081969728,1.009283667451715,-0.4229904166429274,LiteDoge,0
SLR,Scrypt,PoW,55565076.3863525,98100000000,0.5193593556416287,-1.1760816018214955,0.01116050244414357,SolarCoin,3
TRK,X11,PoW/PoS,242574105.22384,0,-0.38371089508683404,1.2922641516396567,-0.43240605831526485,TruckCoin,0
UFO,NeoScrypt,PoW,3824685012.0,4000000000,-0.10587753985629206,-1.63069606478318,0.23699139220055726,UFO Coin,3
OC,Scrypt,PoW/PoS,3537150.0,200000000,-0.34390277884336456,1.0228801226284872,-0.4134663277076374,OrangeCoin,0
BLC,Blake,PoW,23356790.1494191,7000000000,-0.09662901557907604,-2.144188318741228,0.31729487682987917,BlakeCoin,3
BITS,Scrypt,PoW/PoS,20576532.0,54256119,-0.34473078604886687,1.0229643786644216,-0.413453390455768,BitstarCoin,0
NEOS,SHA-256,PoS,4392258.24647793,21000000,-0.2648585919912741,0.6335874422868315,-0.0650857220077838,NeosCoin,0
HYPER,Scrypt,PoW/PoS,9631199.99309942,0,-0.34525065168919866,1.0229899278859425,-0.41344283490747646,HyperCoin,0
PINK,X11,PoW/PoS,436353624.490312,500000000,-0.37778274280405977,1.2920599621167912,-0.4325341781288803,PinkCoin,0
CESC,Scrypt,PoW,780210700.0,1000000000,-0.16237866188539227,-1.123522790771876,0.023307896155506998,Crypto Escudo,3
ADC,Scrypt,PoW/PoS,980732528.97974,10500000000,-0.25868420180965207,1.0176595259015675,-0.4151048006639198,AudioCoin,0
NKA,SHA-256,PoW/PoS,17939725045.334,190000000,-0.08531741585174613,0.8551258917400877,-0.2818844602203102,IncaKoin,0
PIGGY,X11,PoW/PoS,494240666.028571,1000000000,-0.37351799956899956,1.2918100511512776,-0.43261718492232665,Piggy Coin,0
CRW,SHA-256,PoW,22986929.0854247,42000000,-0.13935486440417566,-1.2970557193816283,0.1612164700426774,Crown Coin,3
GEN,Scrypt,PoW/PoS,60000000.0,15000000,-0.3445274209394883,1.0229987930066613,-0.4134614698232545,Genstake,0
SMLY,Scrypt,PoW,29583989322.9213,50000000000,0.5387022501283985,-1.1402316201593883,0.007494347396216084,SmileyCoin,3
MI,Scrypt,PoW/PoS,404316475.545465,400000000,-0.3375745210236216,1.022907211171304,-0.4136248926405893,XiaoMiCoin,0
GRS,Groestl,PoW,73298203.8873662,105000000,-0.19865938145857243,-1.2798920010615782,0.12245480322143434,Groestlcoin,3
CPC,X11,PoW/PoS,201364327.427503,208000000,-0.38273596203170096,1.2921382213916115,-0.4324189141771058,CapriCoin,0
CLUB,Scrypt,PoW/PoS,103621876.167052,160000000,-0.3429621726710041,1.0229353474219565,-0.4134944502437006, ClubCoin,0
RADS,PoS,PoS,3821245.74150193,9000000,-0.3594967943134493,1.541869377403051,-0.1073376186429485,Radium,0
BTA,Scrypt,PoW,5052555.91981545,5000000,-0.1789438605912664,-1.1232475145113066,0.02369217142651647,Bata,3
PAK,Scrypt,PoW,69684455.4387001,182000000,-0.17689384162310823,-1.12332113199224,0.023648133645397966,Pakcoin,3
CRB,X11,Proof of Trust,16901016.6609755,16504333,-0.35297133417282994,1.0584845107792815,-0.38934649744840477,Creditbit ,0
OK,SHA-256,PoW/PoS,74676064.9488608,105000000,-0.3046013545096505,0.8491609368211799,-0.2759428512350218,OKCash,0
LSK,DPoS,DPoS,120012140.0,159918400,3.6499852855691075,2.0108905776714816,0.1344117674036601,Lisk,0
XHI,Scrypt,PoS,10000244677.7002,10008835635,-0.11057253419487269,0.8053636909789625,-0.20721331835254386,HiCoin,0
XWC,Scrypt,PoW/PoS,252005564.19257,300000000,-0.3401501359005492,1.022909843143882,-0.41356157115825903,WhiteCoin,0
FSC,NeoScrypt,PoW/PoS,1120385.00502,60168145,-0.3470290612123966,0.5163733739988019,-0.19837075959580067,FriendshipCoin,0
J,Multiple,PoW,3332922.5,2800000,-0.12415956358852387,-1.8535602356624985,0.2691606564641366,JoinCoin,3
TRI,X13,PoW/PoS,140777.753365,120000,-0.27606759293235217,1.7812213045799403,-0.4722331078026958,Triangles Coin,0
VOLLAR,Equihash+Scrypt,PoW,100000000.0,2100000000,-0.12927230915481058,-2.1910563576176547,0.2780964205514089,Vollar,3
EOS,DPoS,DPoS,1020544523.0722,0,3.6598709721122478,2.011279724517647,0.13413321469610132,EOS,0
RCC,Ethash,PoW,24487944.0958204,24487944,-0.15643974875070954,-1.9682593190428699,0.3027303386235775,Reality Clash,3
OXY,DPoS,DPoS,1122382283.37,0,3.661117530087423,2.011313988145733,0.1340994070195386,Oxycoin,0
TCH,SHA-256,PoS,1000000000.0,1000000000,-0.2457087495514699,0.6333949573639772,-0.06554113995013149,TigerCash,0
WAVES,Leased POS,LPoS,100000000.0,100000000,-0.36580369085464554,3.8878807351003117,11.186206887416127,Waves,1
PART,PoS,PoS,9283137.5558676,8634140,-0.35943253945683235,1.5418714121894035,-0.10733938518290623,Particl,0
BTT,TRC10,DPoS,989988713439.649,990000000000,34.09672229298182,1.6079576151665735,-0.8118973213657492,BitTorrent,2
NXT,PoS,PoS/LPoS,1000000000.0,1000000000,-0.36662388984610933,1.688188539196145,0.07462870035734183,Nxt,0
ZEPH,SHA-256,DPoS,1999999995.3056,2000000000,2.4450765065969446,0.8897129998580022,0.059915996580477304,ZEPHYR,0
GAP,Scrypt,PoW/PoS,14931046.1546605,250000000,-0.34340769345878847,1.022857017416047,-0.41347648917533486,Gapcoin,0
BDX,CryptoNight,PoW,980222595.0,1400222610,0.331194202241953,-2.3002410933567163,0.29691760644331866,Beldex,3
ZEN,Equihash,PoW,7296537.5,21000000,-0.1359488551563205,-2.2143246584391805,0.22682940456742756,Horizen,3
XBC,Scrypt,PoS,128326.99633965,1000000,-0.3041593436404591,0.8073910874533141,-0.2026167277300484,BitcoinPlus,0
